contributions,title,review,
39,Our NYC Go To!,When visiting New York City| we choose to stay at the Hotel Giraffe because the rooms are well appointed and clean| the location superbly convenient| and the staff always goes above and beyond. We have been going for years and the standards have always been maintained.,
70,Great Central Location,Stayed here 4 nights with the family checking out colleges with our daughter. We had a king suite with a balcony.  Room was split up into 2 distinct areas. The front living area that had a queen size pullout couch that our daughter slept on - that wasn't your typical cheap mattress| very comfortable. Large TV screen mini fridge so you could stock it with food. Bathroom was spacious with plenty of space for all of our stuff. A separate bedroom with king size bed that had a closet and dresser for all of our clothing. Bonus closet in living room area that had 2 luggage racks and plush robes.  We were up on 9th floor but could still hear street traffic| we noticed a placard that listed free items upon request| one of them was ear plugs...so we had some brought up to the room| that…,
1,another great experience in NYC!,Our second visit to Hotel Giraffe this year was exceptional in every way| topping our first visit by one hostess/server in the lobby who remembered us from May| and was over-the-top in gracious hospitality. ,
15,Great hotel| fantastic location,We stayed for 7 days| business and leisure trip. Everything during our stay was perfect| staff was very friendly and helpful| particularly Gabriella. Rooms are big and much bigger to what we have experianced so far in NYC. Also surprisingly quiet for the Park ave location. Lot's of great restaurants and bars in the neighbourhood and lower prices than in midtown.Will be back for sure!,
5,perfect stay in NYC,this hotel is perfect| well located| just 2 blocks from the subway. you can walk to times square| union square. the staff is very helpful. the hotel offers drinks and snacks in the afternoon. I recommend,
14,2nd visit as good as the first.,We stayed at hotel Giraffe last year as well as last week. We returned because we were quite pleased with our previous stay. Everything about this hotel was/is spot on. Helpful and friendly staff| comfortable and quiet room| very convenient  location| good breakfast and happy hour options.   We are already planning our next return. ,
1,Great hotel; great service,We loved the cozy feel of Hotel Giraffe.  It was unlike big| busy| crowded NYC hotels we have stayed in on previous visits. The staff was very helpful and friendly| and even remembered certain preferences during our stay. We have already recommended it to friends and would definitely stay there again.,
193,Not a great experience,Stayed for six nights in late October. Pros: location. Great restaurants nearby| many attractions and subway at walking distance. Cons: costly| even by Manhattan standards. The breakfast is just basic. It is served in a relatively small space| so it is not unusual to have to wait for the seat. Besides| there are some essential items lacking| like cheeses and ham. Better quality products would also be appreciated. So consider staying anywhere else and getting your breakfast outside| you’ll probably spend much less and eat much better. Service is ok. Room was comfortable| but in my opinion not clean enough| needs some restoration and maintenance. Accommodation in Manhattan is extremely expensive| but it should make up for the money spent. My expectations were so high for this…,
1,2nd Stay Notes,This was our second time staying at the Giraffe.  We enjoyed the hotel very much the first time so we rebooked again 5 years later. We are glad we did as the hotel has even got better the second time around.  Now a continental breakfast and an evening wine and cheese.  The food was delicious and everyone we met from the hotel was extremely nice.  We don’t submit reviews often but in this case we think others would be happy to stay at this little oasis in the city,
26,Hospitality| hospitality| hospitality!,In my opinion| this is why they continue to get unbelievably strong responses from their guests . The hotel environment ( Lobby/rooms) aren’t uniquely special from any other Premium standard accommodation . However| everything else they offered most definitely was . From the cheese and wine laid out every evening | to the interactions with every paid employee that made me feel almost obligated to return here on my next visit. So | if you are after a very special guest experience while in New York ..... look no further !,
1,Hotel Stay,This is a great hotel| at a perfect location. Elevators are very slow| and break down. The morning breakfast and evening happy hour are wonderful amenities.   Eliminate the requirement for a 200 word minimum.,
3,Always Doing Everything Roght,I love The Giraffe.  My husband and myself stay here every time we come to  NYC.  Their staff goes out of their way to assist you in every way. The  big pros are the cocktail hour fro 5 till 8 -that’s helps you save a lot of money for drinks elsewhere and they have a wonderful breakfast spread with fruit| bagels|hard boiled eggs.  This also helps on spending money for breakfast.  The rooms are very nice.  We do get a suite that has a balacony a more extra space (sitting are) but we also have stayed I. Their guest rooms and those are very nice as well.  You can’t go wrong I staying here.  Already waiting for my next trip,
3,Great All Around Hotel,I went with a friend for a girls' weekend to NYC| and we chose this hotel based upon a recommendation from another friend.  The room was well-equipped with comfortable beds| the staff was friendly and attentive| the location was great| and the complimentary breakfast| snacks| and wine and cheese were a very nice touch.  I will stay here again for sure!,
1,All Around  Excellence,The room was great| the service was great and the staff went out of their way to make you feel special.  We came to New Your to celebrate our granddaughter's graduation.  The stay at the Giraffe certainly made the trip feel special for her.  Our experience was everything that we hoped it would be for her first trip to New York.  Can't wait to return and stay at the Giraffe.,
